Month,Item,Value
202101,"White, self raising flour per 2 kg",1.976
202101,"Brown, wholemeal flour per 2 kg",2.758
202101,"Bread, white sliced pan, large (800g)",1.283
202101,"Bread, brown sliced pan, large (800g)",1.447
202101,Spaghetti per 500g,0.979
202101,Sirloin steak per kg,14.714
202101,Striploin steak per kg,19.403
202101,Roast beef - topside or rib per kg,12.628
202101,Sliced / diced beef pieces per kg,9.648
202101,Pork loin chops per kg,7.652
202101,Pork steak per kg,8.415
202101,Lamb - whole leg / half leg per kg,12.258
202101,Lamb loin chops per kg,18.269
202101,Lamb gigot chops per kg,
202101,Uncooked chicken medium size 1.6kg,4.601
202101,Lamb's liver per kg,
202101,Ham fillet per kg,5.708
202101,Cooked ham per kg,17.932
202101,Best back rashers per kg,9.259
202101,Pork sausages per kg,6.242
202101,Fresh fillet of whiting per kg,
202101,Fresh fillet of cod per kg,17.212
202101,Fresh salmon per kg,21.379
202101,Fresh fillet of plaice per kg,
202101,Fresh hake per kg,
202101,Smoked salmon per kg,32.841
202101,Full fat milk per 2 litre,1.687
202101,Low fat milk per 1 litre,1.023
202101,Irish cheddar per kg,9.071
202101,Large eggs per half dozen,1.78
202101,Medium eggs per half dozen,1.414
202101,Butter per lb,3.07
202101,Grapes per kg,5.121
202101,Bananas per kg,1.293
202101,Tomatoes per kg,3.292
202101,Onions per kg,1.193
202101,Broccoli per kg,2.635
202101,Carrots per kg,1.102
202101,Mushrooms per kg,3.704
202101,Tomatoes tinned per 400g,0.844
202101,Potatoes 2.5 kg,3.58
202101,Potatoes 7.5 kg,6.354
202101,Potatoes 10 kg,
202101,White granulated sugar per 1 kg,1.177
202101,Jam per lb,0.945
202101,Marmalade per lb,1.84
202101,Tea bags per 80,2.721
202101,Orange juice per litre,1.363
202101,Whiskey - take home (70cl bottle),27.158
202101,Brandy - take home (70cl bottle),31.256
202101,Vodka - take home (70cl bottle),20.692
202101,Cream liqueur - take home (70cl bottle),16.897
202101,Wine - take home (75cl bottle),
202101,Cider - take home (50cl can),2.146
202101,Sherry - take home (75cl bottle),
202101,Lager - take home (50cl can),1.873
202101,Stout - take home (50cl can),2.248
202101,Filtered cigarettes per 20 pk,13.642
202101,Stout - draught bar (1 pint),
202101,Lager - draught bar (1 pint),
202101,Lager - bar (33cl bottle),
202101,Cider - draught bar (1 pint),
202101,Ale - draught bar (1 pint),
202101,Cider - bar (33cl bottle),
202101,Flavoured alcoholic drink - bar (275ml bottle),
202101,Whiskey - bar (single) per ½ glass,
202101,Brandy - bar (single) per ½ glass,
202101,Vodka - bar (single) per ½ glass,
202101,Wine - bar (187ml bottle),
202101,Diesel per litre,1.214
202101,Petrol - unleaded per litre,1.314
202101,Cinema fee,
202101,Nightclubs fee,
202101,Gent's dry cut fee,
202101,"Gent's wash, cut, and blow dry fee",
202101,"Ladies' wash, cut and blow dry fee",
202102,"White, self raising flour per 2 kg",1.976
202102,"Brown, wholemeal flour per 2 kg",2.788
202102,"Bread, white sliced pan, large (800g)",1.302
202102,"Bread, brown sliced pan, large (800g)",1.44
202102,Spaghetti per 500g,1.009
202102,Sirloin steak per kg,14.573
202102,Striploin steak per kg,18.929
202102,Roast beef - topside or rib per kg,12.778
202102,Sliced / diced beef pieces per kg,9.367
