Month,Item,Value
201701,"White, self raising flour per 2 kg",2.405
201701,"Brown, wholemeal flour per 2 kg",2.967
201701,"Bread, white sliced pan, large (800g)",1.278
201701,"Bread, brown sliced pan, large (800g)",1.382
201701,Spaghetti per 500g,1.105
201701,Sirloin steak per kg,16.725
201701,Striploin steak per kg,22.971
201701,Roast beef - topside or rib per kg,12.796
201701,Sliced / diced beef pieces per kg,10.588
201701,Pork loin chops per kg,7.985
201701,Pork steak per kg,9.332
201701,Lamb - whole leg / half leg per kg,12.316
201701,Lamb loin chops per kg,17.545
201701,Lamb gigot chops per kg,
201701,Uncooked chicken medium size 1.6kg,4.856
201701,Lamb's liver per kg,5.845
201701,Ham fillet per kg,5.737
201701,Cooked ham per kg,17.84
201701,Best back rashers per kg,9.598
201701,Pork sausages per kg,5.774
201701,Fresh fillet of whiting per kg,
201701,Fresh fillet of cod per kg,17.253
201701,Fresh salmon per kg,20.706
201701,Fresh fillet of plaice per kg,
201701,Fresh hake per kg,16.482
201701,Smoked salmon per kg,27.744
201701,Full fat milk per 2 litre,1.695
201701,Low fat milk per 1 litre,1.051
201701,Irish cheddar per kg,10.203
201701,Large eggs per half dozen,1.757
201701,Medium eggs per half dozen,1.459
201701,Butter per lb,2.658
201701,Grapes per kg,5.101
201701,Bananas per kg,1.411
201701,Tomatoes per kg,2.894
201701,Onions per kg,1.083
201701,Broccoli per kg,2.993
201701,Carrots per kg,1.206
201701,Mushrooms per kg,4.043
201701,Tomatoes tinned per 400g,0.893
201701,Potatoes 2.5 kg,3.147
201701,Potatoes 7.5 kg,5.868
201701,Potatoes 10 kg,
201701,White granulated sugar per 1 kg,1.288
201701,Jam per lb,1.339
201701,Marmalade per lb,1.951
201701,Tea bags per 80,2.788
201701,Orange juice per litre,1.464
201701,Whiskey - take home (70cl bottle),26.622
201701,Brandy - take home (70cl bottle),31.056
201701,Vodka - take home (70cl bottle),19.055
201701,Cream liqueur - take home (70cl bottle),14.98
201701,Wine - take home (75cl bottle),
201701,Cider - take home (50cl can),2.071
201701,Sherry - take home (75cl bottle),
201701,Lager - take home (50cl can),1.901
201701,Stout - take home (50cl can),2.19
201701,Filtered cigarettes per 20 pk,11.241
201701,Stout - draught bar (1 pint),4.365
201701,Lager - draught bar (1 pint),4.744
201701,Lager - bar (33cl bottle),4.667
201701,Cider - draught bar (1 pint),4.821
201701,Ale - draught bar (1 pint),4.42
201701,Cider - bar (33cl bottle),4.81
201701,Flavoured alcoholic drink - bar (275ml bottle),5.389
201701,Whiskey - bar (single) per ½ glass,4.18
201701,Brandy - bar (single) per ½ glass,4.664
201701,Vodka - bar (single) per ½ glass,4.219
