Month,Item,Value
201401,"White, self raising flour per 2 kg",2.308
201401,"Brown, wholemeal flour per 2 kg",2.971
201401,"Bread, white sliced pan, large (800g)",1.289
201401,"Bread, brown sliced pan, large (800g)",1.532
201401,Spaghetti per 500g,1.105
201401,Sirloin steak per kg,16.287
201401,Striploin steak per kg,23.129
201401,Roast beef - topside or rib per kg,13.418
201401,Sliced / diced beef pieces per kg,10.585
201401,Pork loin chops per kg,8.116
201401,Pork steak per kg,9.474
201401,Lamb - whole leg / half leg per kg,11.226
201401,Lamb loin chops per kg,17.792
201401,Lamb gigot chops per kg,12.79
201401,Uncooked chicken medium size 1.6kg,5.707
201401,Lamb's liver per kg,5.812
201401,Ham fillet per kg,6.005
201401,Cooked ham per kg,17.494
201401,Best back rashers per kg,10.51
201401,Pork sausages per kg,5.798
201401,Fresh fillet of whiting per kg,10.954
201401,Fresh fillet of cod per kg,16.181
201401,Fresh salmon per kg,18.86
201401,Fresh fillet of plaice per kg,19.032
201401,Fresh hake per kg,
201401,Smoked salmon per kg,28.173
201401,Full fat milk per 2 litre,1.755
201401,Low fat milk per 1 litre,1.05
201401,Irish cheddar per kg,11.048
201401,Large eggs per half dozen,1.884
201401,Medium eggs per half dozen,1.577
201401,Butter per lb,2.783
201401,Grapes per kg,5.802
201401,Bananas per kg,1.366
201401,Tomatoes per kg,3.126
201401,Onions per kg,1.2
201401,Broccoli per kg,3.322
201401,Carrots per kg,1.327
201401,Mushrooms per kg,4.817
201401,Tomatoes tinned per 400g,0.874
201401,Potatoes 2.5 kg,3.265
201401,Potatoes 7.5 kg,
201401,Potatoes 10 kg,6.7
201401,White granulated sugar per 1 kg,1.337
201401,Jam per lb,1.745
201401,Marmalade per lb,1.879
201401,Tea bags per 80,2.744
201401,Orange juice per litre,1.523
201401,Whiskey - take home (70cl bottle),25.329
201401,Brandy - take home (70cl bottle),29.019
201401,Vodka - take home (70cl bottle),20.753
201401,Cream liqueur - take home (70cl bottle),15.776
201401,Wine - take home (75cl bottle),10.456
201401,Cider - take home (50cl can),2.274
201401,Sherry - take home (75cl bottle),13.75
201401,Lager - take home (50cl can),1.972
201401,Stout - take home (50cl can),2.193
201401,Filtered cigarettes per 20 pk,9.481
201401,Stout - draught bar (1 pint),4.297
201401,Lager - draught bar (1 pint),4.679
201401,Lager - bar (33cl bottle),4.612
201401,Cider - draught bar (1 pint),4.742
201401,Ale - draught bar (1 pint),4.327
201401,Cider - bar (33cl bottle),4.735
201401,Flavoured alcoholic drink - bar (275ml bottle),5.316
201401,Whiskey - bar (single) per ½ glass,4.032
201401,Brandy - bar (single) per ½ glass,4.561
201401,Vodka - bar (single) per ½ glass,4.083
201401,Wine - bar (187ml bottle),5.262
201401,Diesel per litre,1.474
201401,Petrol - unleaded per litre,1.527
201401,Cinema fee,9.083
201401,Nightclubs fee,9.391
201401,Gent's dry cut fee,11.704
201401,"Gent's wash, cut, and blow dry fee",18.292
201401,"Ladies' wash, cut and blow dry fee",39.016
201402,"White, self raising flour per 2 kg",2.338
201402,"Brown, wholemeal flour per 2 kg",2.982
201402,"Bread, white sliced pan, large (800g)",1.299
201402,"Bread, brown sliced pan, large (800g)",1.553
201402,Spaghetti per 500g,1.104
201402,Sirloin steak per kg,15.106
201402,Striploin steak per kg,21.297
201402,Roast beef - topside or rib per kg,13.639
201402,Sliced / diced beef pieces per kg,10.598
201402,Pork loin chops per kg,8.348
201402,Pork steak per kg,9.638
201402,Lamb - whole leg / half leg per kg,11.441
201402,Lamb loin chops per kg,18.969
201402,Lamb gigot chops per kg,12.898
201402,Uncooked chicken medium size 1.6kg,5.661
201402,Lamb's liver per kg,5.79
201402,Ham fillet per kg,5.99
201402,Cooked ham per kg,18.301
201402,Best back rashers per kg,10.684
201402,Pork sausages per kg,6.057
201402,Fresh fillet of whiting per kg,10.898
201402,Fresh fillet of cod per kg,14.256
201402,Fresh salmon per kg,18.102
201402,Fresh fillet of plaice per kg,17.858
201402,Fresh hake per kg,
201402,Smoked salmon per kg,29.604
201402,Full fat milk per 2 litre,1.751
201402,Low fat milk per 1 litre,1.054
201402,Irish cheddar per kg,11.371
201402,Large eggs per half dozen,1.877
201402,Medium eggs per half dozen,1.546
201402,Butter per lb,2.797
201402,Grapes per kg,5.76
201402,Bananas per kg,1.371
201402,Tomatoes per kg,3.113
201402,Onions per kg,1.184
201402,Broccoli per kg,3.112
201402,Carrots per kg,1.281
201402,Mushrooms per kg,4.681
201402,Tomatoes tinned per 400g,0.933
201402,Potatoes 2.5 kg,3.264
201402,Potatoes 7.5 kg,
201402,Potatoes 10 kg,5.925
201402,White granulated sugar per 1 kg,1.348
201402,Jam per lb,1.906
201402,Marmalade per lb,1.86
201402,Tea bags per 80,2.813
201402,Orange juice per litre,1.588
201402,Whiskey - take home (70cl bottle),25.334
201402,Brandy - take home (70cl bottle),29.119
201402,Vodka - take home (70cl bottle),20.663
201402,Cream liqueur - take home (70cl bottle),15.774
201402,Wine - take home (75cl bottle),10.496
201402,Cider - take home (50cl can),2.306
201402,Sherry - take home (75cl bottle),13.803
201402,Lager - take home (50cl can),1.985
201402,Stout - take home (50cl can),2.246
201402,Filtered cigarettes per 20 pk,9.482
201402,Stout - draught bar (1 pint),4.295
201402,Lager - draught bar (1 pint),4.672
201402,Lager - bar (33cl bottle),4.609
201402,Cider - draught bar (1 pint),4.739
201402,Ale - draught bar (1 pint),4.323
201402,Cider - bar (33cl bottle),4.722
201402,Flavoured alcoholic drink - bar (275ml bottle),5.285
201402,Whiskey - bar (single) per ½ glass,4.029
201402,Brandy - bar (single) per ½ glass,4.559
201402,Vodka - bar (single) per ½ glass,4.084
201402,Wine - bar (187ml bottle),5.253
201402,Diesel per litre,1.469
201402,Petrol - unleaded per litre,1.522
201402,Cinema fee,9.063
201402,Nightclubs fee,9.455
201402,Gent's dry cut fee,11.772
201402,"Gent's wash, cut, and blow dry fee",17.699
201402,"Ladies' wash, cut and blow dry fee",37.547
201403,"White, self raising flour per 2 kg",2.314
201403,"Brown, wholemeal flour per 2 kg",2.988
201403,"Bread, white sliced pan, large (800g)",1.285
201403,"Bread, brown sliced pan, large (800g)",1.551
201403,Spaghetti per 500g,1.15
201403,Sirloin steak per kg,16.215
201403,Striploin steak per kg,22.286
201403,Roast beef - topside or rib per kg,12.139
201403,Sliced / diced beef pieces per kg,10.703
201403,Pork loin chops per kg,8.911
201403,Pork steak per kg,9.063
201403,Lamb - whole leg / half leg per kg,12.054
201403,Lamb loin chops per kg,17.162
201403,Lamb gigot chops per kg,13.073
201403,Uncooked chicken medium size 1.6kg,5.547
201403,Lamb's liver per kg,5.689
201403,Ham fillet per kg,6.064
201403,Cooked ham per kg,18.228
201403,Best back rashers per kg,10.446
201403,Pork sausages per kg,6.073
201403,Fresh fillet of whiting per kg,9.71
201403,Fresh fillet of cod per kg,15.432
201403,Fresh salmon per kg,18.108
201403,Fresh fillet of plaice per kg,16.827
201403,Fresh hake per kg,
201403,Smoked salmon per kg,29.556
201403,Full fat milk per 2 litre,1.744
201403,Low fat milk per 1 litre,1.057
201403,Irish cheddar per kg,11.249
201403,Large eggs per half dozen,1.867
201403,Medium eggs per half dozen,1.572
201403,Butter per lb,2.763
201403,Grapes per kg,5.745
201403,Bananas per kg,1.375
201403,Tomatoes per kg,3.184
201403,Onions per kg,1.208
201403,Broccoli per kg,3.164
201403,Carrots per kg,1.192
201403,Mushrooms per kg,4.619
201403,Tomatoes tinned per 400g,0.956
201403,Potatoes 2.5 kg,3.014
201403,Potatoes 7.5 kg,
201403,Potatoes 10 kg,5.452
201403,White granulated sugar per 1 kg,1.345
201403,Jam per lb,2.033
201403,Marmalade per lb,1.809
201403,Tea bags per 80,2.737
201403,Orange juice per litre,1.542
201403,Whiskey - take home (70cl bottle),24.922
201403,Brandy - take home (70cl bottle),27.655
201403,Vodka - take home (70cl bottle),20.01
201403,Cream liqueur - take home (70cl bottle),15.913
201403,Wine - take home (75cl bottle),10.596
201403,Cider - take home (50cl can),2.371
201403,Sherry - take home (75cl bottle),14.112
201403,Lager - take home (50cl can),1.989
201403,Stout - take home (50cl can),2.256
201403,Filtered cigarettes per 20 pk,9.486
201403,Stout - draught bar (1 pint),4.294
201403,Lager - draught bar (1 pint),4.668
201403,Lager - bar (33cl bottle),4.619
201403,Cider - draught bar (1 pint),4.741
201403,Ale - draught bar (1 pint),4.328
201403,Cider - bar (33cl bottle),4.729
201403,Flavoured alcoholic drink - bar (275ml bottle),5.3
201403,Whiskey - bar (single) per ½ glass,4.038
201403,Brandy - bar (single) per ½ glass,4.57
201403,Vodka - bar (single) per ½ glass,4.095
201403,Wine - bar (187ml bottle),5.267
201403,Diesel per litre,1.473
201403,Petrol - unleaded per litre,1.527
201403,Cinema fee,9.063
201403,Nightclubs fee,9.4
201403,Gent's dry cut fee,11.752
201403,"Gent's wash, cut, and blow dry fee",17.605
201403,"Ladies' wash, cut and blow dry fee",37.035
201404,"White, self raising flour per 2 kg",2.161
201404,"Brown, wholemeal flour per 2 kg",2.997
201404,"Bread, white sliced pan, large (800g)",1.296
201404,"Bread, brown sliced pan, large (800g)",1.536
201404,Spaghetti per 500g,1.139
201404,Sirloin steak per kg,15.197
201404,Striploin steak per kg,22.777
201404,Roast beef - topside or rib per kg,12.458
201404,Sliced / diced beef pieces per kg,10.564
201404,Pork loin chops per kg,8.901
201404,Pork steak per kg,9.394
201404,Lamb - whole leg / half leg per kg,11.792
201404,Lamb loin chops per kg,18.837
201404,Lamb gigot chops per kg,12.999
201404,Uncooked chicken medium size 1.6kg,5.681
201404,Lamb's liver per kg,5.747
201404,Ham fillet per kg,5.859
201404,Cooked ham per kg,18.007
201404,Best back rashers per kg,10.458
201404,Pork sausages per kg,6.036
201404,Fresh fillet of whiting per kg,10.918
201404,Fresh fillet of cod per kg,14.41
201404,Fresh salmon per kg,17.971
201404,Fresh fillet of plaice per kg,19.109
201404,Fresh hake per kg,
201404,Smoked salmon per kg,30.292
201404,Full fat milk per 2 litre,1.742
201404,Low fat milk per 1 litre,1.054
201404,Irish cheddar per kg,11.354
201404,Large eggs per half dozen,1.87
201404,Medium eggs per half dozen,1.552
201404,Butter per lb,2.764
201404,Grapes per kg,5.556
201404,Bananas per kg,1.374
201404,Tomatoes per kg,3.132
201404,Onions per kg,1.229
201404,Broccoli per kg,3.07
201404,Carrots per kg,1.242
201404,Mushrooms per kg,4.425
201404,Tomatoes tinned per 400g,0.94
201404,Potatoes 2.5 kg,3.039
201404,Potatoes 7.5 kg,
201404,Potatoes 10 kg,5.39
201404,White granulated sugar per 1 kg,1.339
201404,Jam per lb,1.868
201404,Marmalade per lb,1.911
201404,Tea bags per 80,2.84
201404,Orange juice per litre,1.632
201404,Whiskey - take home (70cl bottle),25.363
201404,Brandy - take home (70cl bottle),28.713
201404,Vodka - take home (70cl bottle),20.466
201404,Cream liqueur - take home (70cl bottle),15.577
201404,Wine - take home (75cl bottle),10.638
201404,Cider - take home (50cl can),2.327
201404,Sherry - take home (75cl bottle),13.712
201404,Lager - take home (50cl can),1.998
201404,Stout - take home (50cl can),2.247
201404,Filtered cigarettes per 20 pk,9.489
201404,Stout - draught bar (1 pint),4.295
201404,Lager - draught bar (1 pint),4.671
201404,Lager - bar (33cl bottle),4.613
201404,Cider - draught bar (1 pint),4.749
201404,Ale - draught bar (1 pint),4.329
201404,Cider - bar (33cl bottle),4.73
201404,Flavoured alcoholic drink - bar (275ml bottle),5.314
201404,Whiskey - bar (single) per ½ glass,4.041
201404,Brandy - bar (single) per ½ glass,4.566
201404,Vodka - bar (single) per ½ glass,4.091
201404,Wine - bar (187ml bottle),5.276
201404,Diesel per litre,1.468
201404,Petrol - unleaded per litre,1.53
201404,Cinema fee,9.051
201404,Nightclubs fee,9.423
201404,Gent's dry cut fee,11.74
201404,"Gent's wash, cut, and blow dry fee",17.551
201404,"Ladies' wash, cut and blow dry fee",36.85
201405,"White, self raising flour per 2 kg",2.321
201405,"Brown, wholemeal flour per 2 kg",2.98
201405,"Bread, white sliced pan, large (800g)",1.303
201405,"Bread, brown sliced pan, large (800g)",1.532
201405,Spaghetti per 500g,1.072
201405,Sirloin steak per kg,16.573
201405,Striploin steak per kg,23.072
201405,Roast beef - topside or rib per kg,12.794
201405,Sliced / diced beef pieces per kg,10.625
201405,Pork loin chops per kg,8.101
201405,Pork steak per kg,9.535
201405,Lamb - whole leg / half leg per kg,12.781
201405,Lamb loin chops per kg,18.511
201405,Lamb gigot chops per kg,13.2
201405,Uncooked chicken medium size 1.6kg,5.489
201405,Lamb's liver per kg,5.751
201405,Ham fillet per kg,5.856
201405,Cooked ham per kg,17.538
201405,Best back rashers per kg,10.693
201405,Pork sausages per kg,6.027
201405,Fresh fillet of whiting per kg,10.297
201405,Fresh fillet of cod per kg,16.031
201405,Fresh salmon per kg,18.546
201405,Fresh fillet of plaice per kg,18.28
201405,Fresh hake per kg,
201405,Smoked salmon per kg,29.381
201405,Full fat milk per 2 litre,1.741
201405,Low fat milk per 1 litre,1.051
201405,Irish cheddar per kg,11.076
201405,Large eggs per half dozen,1.845
201405,Medium eggs per half dozen,1.6
201405,Butter per lb,2.742
201405,Grapes per kg,5.412
201405,Bananas per kg,1.372
201405,Tomatoes per kg,3.121
201405,Onions per kg,1.23
201405,Broccoli per kg,3.153
201405,Carrots per kg,1.312
201405,Mushrooms per kg,4.543
201405,Tomatoes tinned per 400g,0.917
201405,Potatoes 2.5 kg,3.032
201405,Potatoes 7.5 kg,
201405,Potatoes 10 kg,5.33
201405,White granulated sugar per 1 kg,1.338
201405,Jam per lb,2.018
201405,Marmalade per lb,1.942
201405,Tea bags per 80,2.819
201405,Orange juice per litre,1.574
201405,Whiskey - take home (70cl bottle),25.041
201405,Brandy - take home (70cl bottle),30.34
201405,Vodka - take home (70cl bottle),20.562
201405,Cream liqueur - take home (70cl bottle),15.947
201405,Wine - take home (75cl bottle),10.369
201405,Cider - take home (50cl can),2.296
201405,Sherry - take home (75cl bottle),12.872
201405,Lager - take home (50cl can),1.975
201405,Stout - take home (50cl can),2.254
201405,Filtered cigarettes per 20 pk,9.558
201405,Stout - draught bar (1 pint),4.294
201405,Lager - draught bar (1 pint),4.673
201405,Lager - bar (33cl bottle),4.617
201405,Cider - draught bar (1 pint),4.751
201405,Ale - draught bar (1 pint),4.331
201405,Cider - bar (33cl bottle),4.729
201405,Flavoured alcoholic drink - bar (275ml bottle),5.314
201405,Whiskey - bar (single) per ½ glass,4.041
201405,Brandy - bar (single) per ½ glass,4.565
201405,Vodka - bar (single) per ½ glass,4.096
201405,Wine - bar (187ml bottle),5.262
201405,Diesel per litre,1.471
201405,Petrol - unleaded per litre,1.54
201405,Cinema fee,9.055
201405,Nightclubs fee,9.116
201405,Gent's dry cut fee,11.798
201405,"Gent's wash, cut, and blow dry fee",17.73
201405,"Ladies' wash, cut and blow dry fee",36.782
201406,"White, self raising flour per 2 kg",2.277
201406,"Brown, wholemeal flour per 2 kg",2.989
201406,"Bread, white sliced pan, large (800g)",1.301
201406,"Bread, brown sliced pan, large (800g)",1.541
201406,Spaghetti per 500g,1.169
201406,Sirloin steak per kg,16.568
201406,Striploin steak per kg,22.603
201406,Roast beef - topside or rib per kg,12.664
201406,Sliced / diced beef pieces per kg,10.734
201406,Pork loin chops per kg,8.423
201406,Pork steak per kg,9.306
201406,Lamb - whole leg / half leg per kg,12.213
201406,Lamb loin chops per kg,18.025
201406,Lamb gigot chops per kg,12.971
201406,Uncooked chicken medium size 1.6kg,5.476
201406,Lamb's liver per kg,5.741
201406,Ham fillet per kg,5.84
201406,Cooked ham per kg,17.56
201406,Best back rashers per kg,10.803
201406,Pork sausages per kg,6.043
201406,Fresh fillet of whiting per kg,10.914
201406,Fresh fillet of cod per kg,16.141
201406,Fresh salmon per kg,18.885
201406,Fresh fillet of plaice per kg,17.872
201406,Fresh hake per kg,
201406,Smoked salmon per kg,29.92
201406,Full fat milk per 2 litre,1.742
201406,Low fat milk per 1 litre,1.051
201406,Irish cheddar per kg,11.121
201406,Large eggs per half dozen,1.854
201406,Medium eggs per half dozen,1.597
