Month,Item,Value
201201,"White, self raising flour per 2 kg",2.13
201201,"Brown, wholemeal flour per 2 kg",2.495
201201,"Bread, white sliced pan, large (800g)",1.276
201201,"Bread, brown sliced pan, large (800g)",1.539
201201,Spaghetti per 500g,1.202
201201,Sirloin steak per kg,15.093
201201,Striploin steak per kg,20.922
201201,Roast beef - topside or rib per kg,11.259
201201,Sliced / diced beef pieces per kg,9.706
201201,Pork loin chops per kg,8.399
201201,Pork steak per kg,9.34
201201,Lamb - whole leg / half leg per kg,12.527
201201,Lamb loin chops per kg,18.601
201201,Lamb gigot chops per kg,13.138
201201,Uncooked chicken medium size 1.6kg,5.361
201201,Lamb's liver per kg,5.626
201201,Ham fillet per kg,6.231
201201,Cooked ham per kg,16.341
201201,Best back rashers per kg,10.349
201201,Pork sausages per kg,5.431
201201,Fresh fillet of whiting per kg,10.671
201201,Fresh fillet of cod per kg,16.591
201201,Fresh salmon per kg,14.077
201201,Fresh fillet of plaice per kg,17.932
201201,Fresh hake per kg,
201201,Smoked salmon per kg,24.552
201201,Full fat milk per 2 litre,1.778
201201,Low fat milk per 1 litre,1.055
201201,Irish cheddar per kg,10.701
201201,Large eggs per half dozen,1.813
201201,Medium eggs per half dozen,1.559
201201,Butter per lb,2.769
201201,Grapes per kg,6.154
201201,Bananas per kg,1.33
201201,Tomatoes per kg,2.768
201201,Onions per kg,1.215
201201,Broccoli per kg,2.714
201201,Carrots per kg,1.183
201201,Mushrooms per kg,4.282
201201,Tomatoes tinned per 400g,0.844
201201,Potatoes 2.5 kg,3.06
201201,Potatoes 7.5 kg,
201201,Potatoes 10 kg,5.064
201201,White granulated sugar per 1 kg,1.299
201201,Jam per lb,1.765
201201,Marmalade per lb,1.874
201201,Tea bags per 80,2.788
201201,Orange juice per litre,1.346
201201,Whiskey - take home (70cl bottle),21.957
201201,Brandy - take home (70cl bottle),25.681
201201,Vodka - take home (70cl bottle),17.791
201201,Cream liqueur - take home (70cl bottle),15.331
201201,Wine - take home (75cl bottle),8.953
201201,Cider - take home (50cl can),2.125
201201,Sherry - take home (75cl bottle),11.302
201201,Lager - take home (50cl can),1.778
201201,Stout - take home (50cl can),2.036
201201,Filtered cigarettes per 20 pk,9.014
201201,Stout - draught bar (1 pint),3.963
201201,Lager - draught bar (1 pint),4.276
201201,Lager - bar (33cl bottle),4.351
201201,Cider - draught bar (1 pint),4.471
201201,Ale - draught bar (1 pint),4.005
201201,Cider - bar (33cl bottle),4.472
201201,Flavoured alcoholic drink - bar (275ml bottle),5.167
201201,Whiskey - bar (single) per ½ glass,3.703
201201,Brandy - bar (single) per ½ glass,4.271
201201,Vodka - bar (single) per ½ glass,3.764
201201,Wine - bar (187ml bottle),4.844
201201,Diesel per litre,1.529
201201,Petrol - unleaded per litre,1.542
201201,Cinema fee,8.795
201201,Nightclubs fee,9.715
201201,Gent's dry cut fee,11.643
201201,"Gent's wash, cut, and blow dry fee",18.585
201201,"Ladies' wash, cut and blow dry fee",38.67
201202,"White, self raising flour per 2 kg",2.146
201202,"Brown, wholemeal flour per 2 kg",2.466
201202,"Bread, white sliced pan, large (800g)",1.275
201202,"Bread, brown sliced pan, large (800g)",1.541
201202,Spaghetti per 500g,1.186
201202,Sirloin steak per kg,15.112
201202,Striploin steak per kg,20.077
201202,Roast beef - topside or rib per kg,11.389
201202,Sliced / diced beef pieces per kg,9.969
201202,Pork loin chops per kg,8.419
201202,Pork steak per kg,9.079
201202,Lamb - whole leg / half leg per kg,11.197
201202,Lamb loin chops per kg,18.169
201202,Lamb gigot chops per kg,12.922
201202,Uncooked chicken medium size 1.6kg,5.51
201202,Lamb's liver per kg,5.524
201202,Ham fillet per kg,6.041
