Month,Item,Value
201802,Vodka - bar (single) per ½ glass,4.354
201802,Wine - bar (187ml bottle),
201802,Diesel per litre,1.271
201802,Petrol - unleaded per litre,1.376
201802,Cinema fee,9.643
201802,Nightclubs fee,9.154
201802,Gent's dry cut fee,12.562
201802,"Gent's wash, cut, and blow dry fee",
201802,"Ladies' wash, cut and blow dry fee",39.564
201803,"White, self raising flour per 2 kg",2.264
201803,"Brown, wholemeal flour per 2 kg",2.833
201803,"Bread, white sliced pan, large (800g)",1.3
201803,"Bread, brown sliced pan, large (800g)",1.396
201803,Spaghetti per 500g,1.09
201803,Sirloin steak per kg,14.32
201803,Striploin steak per kg,21.35
201803,Roast beef - topside or rib per kg,13.249
201803,Sliced / diced beef pieces per kg,10.618
201803,Pork loin chops per kg,7.559
201803,Pork steak per kg,9.026
201803,Lamb - whole leg / half leg per kg,11.391
201803,Lamb loin chops per kg,17.522
201803,Lamb gigot chops per kg,
201803,Uncooked chicken medium size 1.6kg,4.569
201803,Lamb's liver per kg,5.918
201803,Ham fillet per kg,5.453
201803,Cooked ham per kg,18.087
201803,Best back rashers per kg,9.752
201803,Pork sausages per kg,5.93
201803,Fresh fillet of whiting per kg,
201803,Fresh fillet of cod per kg,15.171
201803,Fresh salmon per kg,20.716
201803,Fresh fillet of plaice per kg,
201803,Fresh hake per kg,13.148
201803,Smoked salmon per kg,31.261
201803,Full fat milk per 2 litre,1.706
201803,Low fat milk per 1 litre,1.047
201803,Irish cheddar per kg,9.932
201803,Large eggs per half dozen,1.712
201803,Medium eggs per half dozen,1.416
201803,Butter per lb,3.01
201803,Grapes per kg,4.951
201803,Bananas per kg,1.405
201803,Tomatoes per kg,3.077
201803,Onions per kg,1.076
201803,Broccoli per kg,2.773
201803,Carrots per kg,1.267
201803,Mushrooms per kg,3.856
201803,Tomatoes tinned per 400g,0.868
201803,Potatoes 2.5 kg,3.138
201803,Potatoes 7.5 kg,5.354
201803,Potatoes 10 kg,
201803,White granulated sugar per 1 kg,1.304
201803,Jam per lb,1.057
201803,Marmalade per lb,1.991
201803,Tea bags per 80,2.758
201803,Orange juice per litre,1.381
201803,Whiskey - take home (70cl bottle),23.789
201803,Brandy - take home (70cl bottle),29.922
201803,Vodka - take home (70cl bottle),19.059
201803,Cream liqueur - take home (70cl bottle),14.652
201803,Wine - take home (75cl bottle),
201803,Cider - take home (50cl can),2.066
201803,Sherry - take home (75cl bottle),
201803,Lager - take home (50cl can),1.988
201803,Stout - take home (50cl can),2.255
201803,Filtered cigarettes per 20 pk,11.942
201803,Stout - draught bar (1 pint),4.492
201803,Lager - draught bar (1 pint),4.88
201803,Lager - bar (33cl bottle),4.798
201803,Cider - draught bar (1 pint),4.96
201803,Ale - draught bar (1 pint),4.543
201803,Cider - bar (33cl bottle),4.95
201803,Flavoured alcoholic drink - bar (275ml bottle),5.469
201803,Whiskey - bar (single) per ½ glass,4.321
201803,Brandy - bar (single) per ½ glass,4.767
201803,Vodka - bar (single) per ½ glass,4.355
201803,Wine - bar (187ml bottle),
201803,Diesel per litre,1.261
201803,Petrol - unleaded per litre,1.364
201803,Cinema fee,9.669
201803,Nightclubs fee,9.164
201803,Gent's dry cut fee,12.454
201803,"Gent's wash, cut, and blow dry fee",
201803,"Ladies' wash, cut and blow dry fee",39.621
201804,"White, self raising flour per 2 kg",2.29
201804,"Brown, wholemeal flour per 2 kg",2.824
201804,"Bread, white sliced pan, large (800g)",1.303
201804,"Bread, brown sliced pan, large (800g)",1.386
201804,Spaghetti per 500g,1.102
201804,Sirloin steak per kg,14.97
201804,Striploin steak per kg,20.837
201804,Roast beef - topside or rib per kg,13.782
201804,Sliced / diced beef pieces per kg,9.998
201804,Pork loin chops per kg,7.635
201804,Pork steak per kg,8.96
201804,Lamb - whole leg / half leg per kg,12.111
201804,Lamb loin chops per kg,17.381
201804,Lamb gigot chops per kg,
201804,Uncooked chicken medium size 1.6kg,4.665
201804,Lamb's liver per kg,5.881
201804,Ham fillet per kg,5.541
201804,Cooked ham per kg,18.254
201804,Best back rashers per kg,9.467
201804,Pork sausages per kg,5.839
201804,Fresh fillet of whiting per kg,
201804,Fresh fillet of cod per kg,17.293
201804,Fresh salmon per kg,21.535
201804,Fresh fillet of plaice per kg,
201804,Fresh hake per kg,14.149
201804,Smoked salmon per kg,32.212
201804,Full fat milk per 2 litre,1.707
201804,Low fat milk per 1 litre,1.043
201804,Irish cheddar per kg,10.034
201804,Large eggs per half dozen,1.725
201804,Medium eggs per half dozen,1.446
201804,Butter per lb,3.003
201804,Grapes per kg,4.844
201804,Bananas per kg,1.4
201804,Tomatoes per kg,3.022
201804,Onions per kg,1.023
201804,Broccoli per kg,2.804
201804,Carrots per kg,1.261
201804,Mushrooms per kg,3.6
201804,Tomatoes tinned per 400g,0.867
201804,Potatoes 2.5 kg,3.124
201804,Potatoes 7.5 kg,5.317
201804,Potatoes 10 kg,
201804,White granulated sugar per 1 kg,1.306
201804,Jam per lb,1.044
201804,Marmalade per lb,2.044
201804,Tea bags per 80,2.566
201804,Orange juice per litre,1.394
201804,Whiskey - take home (70cl bottle),24.78
201804,Brandy - take home (70cl bottle),28.903
201804,Vodka - take home (70cl bottle),19.14
201804,Cream liqueur - take home (70cl bottle),15.686
201804,Wine - take home (75cl bottle),
201804,Cider - take home (50cl can),2.065
201804,Sherry - take home (75cl bottle),
201804,Lager - take home (50cl can),1.981
201804,Stout - take home (50cl can),2.249
201804,Filtered cigarettes per 20 pk,11.98
201804,Stout - draught bar (1 pint),4.5
201804,Lager - draught bar (1 pint),4.888
201804,Lager - bar (33cl bottle),4.808
201804,Cider - draught bar (1 pint),4.969
201804,Ale - draught bar (1 pint),4.55
201804,Cider - bar (33cl bottle),4.964
201804,Flavoured alcoholic drink - bar (275ml bottle),5.46
201804,Whiskey - bar (single) per ½ glass,4.341
201804,Brandy - bar (single) per ½ glass,4.775
201804,Vodka - bar (single) per ½ glass,4.366
201804,Wine - bar (187ml bottle),
201804,Diesel per litre,1.271
201804,Petrol - unleaded per litre,1.379
201804,Cinema fee,9.707
201804,Nightclubs fee,9.199
201804,Gent's dry cut fee,12.494
201804,"Gent's wash, cut, and blow dry fee",
201804,"Ladies' wash, cut and blow dry fee",39.73
201805,"White, self raising flour per 2 kg",2.269
201805,"Brown, wholemeal flour per 2 kg",2.822
201805,"Bread, white sliced pan, large (800g)",1.295
201805,"Bread, brown sliced pan, large (800g)",1.406
201805,Spaghetti per 500g,1.115
201805,Sirloin steak per kg,15.0
201805,Striploin steak per kg,21.396
201805,Roast beef - topside or rib per kg,13.669
201805,Sliced / diced beef pieces per kg,10.373
201805,Pork loin chops per kg,8.209
201805,Pork steak per kg,8.448
201805,Lamb - whole leg / half leg per kg,12.475
201805,Lamb loin chops per kg,18.552
201805,Lamb gigot chops per kg,
201805,Uncooked chicken medium size 1.6kg,4.594
201805,Lamb's liver per kg,5.812
201805,Ham fillet per kg,5.552
201805,Cooked ham per kg,17.435
201805,Best back rashers per kg,9.739
201805,Pork sausages per kg,6.046
201805,Fresh fillet of whiting per kg,
201805,Fresh fillet of cod per kg,16.061
201805,Fresh salmon per kg,21.371
201805,Fresh fillet of plaice per kg,
201805,Fresh hake per kg,13.468
201805,Smoked salmon per kg,32.148
201805,Full fat milk per 2 litre,1.704
201805,Low fat milk per 1 litre,1.044
201805,Irish cheddar per kg,9.846
201805,Large eggs per half dozen,1.728
201805,Medium eggs per half dozen,1.439
201805,Butter per lb,2.997
201805,Grapes per kg,4.856
201805,Bananas per kg,1.399
201805,Tomatoes per kg,3.052
201805,Onions per kg,1.042
201805,Broccoli per kg,2.787
201805,Carrots per kg,1.31
201805,Mushrooms per kg,3.81
201805,Tomatoes tinned per 400g,0.875
201805,Potatoes 2.5 kg,3.192
201805,Potatoes 7.5 kg,5.303
201805,Potatoes 10 kg,
201805,White granulated sugar per 1 kg,1.304
201805,Jam per lb,1.147
201805,Marmalade per lb,2.134
201805,Tea bags per 80,2.693
201805,Orange juice per litre,1.382
201805,Whiskey - take home (70cl bottle),25.087
201805,Brandy - take home (70cl bottle),30.925
201805,Vodka - take home (70cl bottle),19.09
201805,Cream liqueur - take home (70cl bottle),16.078
201805,Wine - take home (75cl bottle),
201805,Cider - take home (50cl can),2.07
201805,Sherry - take home (75cl bottle),
201805,Lager - take home (50cl can),1.985
201805,Stout - take home (50cl can),2.241
201805,Filtered cigarettes per 20 pk,12.008
201805,Stout - draught bar (1 pint),4.506
201805,Lager - draught bar (1 pint),4.893
201805,Lager - bar (33cl bottle),4.813
201805,Cider - draught bar (1 pint),4.993
201805,Ale - draught bar (1 pint),4.555
201805,Cider - bar (33cl bottle),4.989
201805,Flavoured alcoholic drink - bar (275ml bottle),5.475
201805,Whiskey - bar (single) per ½ glass,4.347
201805,Brandy - bar (single) per ½ glass,4.779
201805,Vodka - bar (single) per ½ glass,4.373
201805,Wine - bar (187ml bottle),
201805,Diesel per litre,1.311
201805,Petrol - unleaded per litre,1.413
201805,Cinema fee,9.685
201805,Nightclubs fee,9.228
201805,Gent's dry cut fee,12.531
201805,"Gent's wash, cut, and blow dry fee",
201805,"Ladies' wash, cut and blow dry fee",39.721
201806,"White, self raising flour per 2 kg",2.334
201806,"Brown, wholemeal flour per 2 kg",2.803
201806,"Bread, white sliced pan, large (800g)",1.282
201806,"Bread, brown sliced pan, large (800g)",1.389
201806,Spaghetti per 500g,1.067
201806,Sirloin steak per kg,14.455
201806,Striploin steak per kg,20.089
201806,Roast beef - topside or rib per kg,13.817
201806,Sliced / diced beef pieces per kg,10.39
201806,Pork loin chops per kg,7.51
201806,Pork steak per kg,8.751
201806,Lamb - whole leg / half leg per kg,11.575
201806,Lamb loin chops per kg,17.346
201806,Lamb gigot chops per kg,
201806,Uncooked chicken medium size 1.6kg,4.666
201806,Lamb's liver per kg,5.752
201806,Ham fillet per kg,5.47
201806,Cooked ham per kg,18.119
201806,Best back rashers per kg,9.535
201806,Pork sausages per kg,5.908
201806,Fresh fillet of whiting per kg,
201806,Fresh fillet of cod per kg,16.275
201806,Fresh salmon per kg,20.98
201806,Fresh fillet of plaice per kg,
201806,Fresh hake per kg,13.696
201806,Smoked salmon per kg,32.177
201806,Full fat milk per 2 litre,1.701
201806,Low fat milk per 1 litre,1.033
201806,Irish cheddar per kg,9.832
201806,Large eggs per half dozen,1.72
201806,Medium eggs per half dozen,1.427
201806,Butter per lb,2.988
201806,Grapes per kg,4.863
201806,Bananas per kg,1.404
201806,Tomatoes per kg,3.092
201806,Onions per kg,1.038
201806,Broccoli per kg,2.826
201806,Carrots per kg,1.297
201806,Mushrooms per kg,3.497
201806,Tomatoes tinned per 400g,0.873
201806,Potatoes 2.5 kg,3.165
201806,Potatoes 7.5 kg,5.278
201806,Potatoes 10 kg,
201806,White granulated sugar per 1 kg,1.304
201806,Jam per lb,1.156
201806,Marmalade per lb,1.982
201806,Tea bags per 80,2.599
201806,Orange juice per litre,1.399
201806,Whiskey - take home (70cl bottle),24.66
201806,Brandy - take home (70cl bottle),30.324
201806,Vodka - take home (70cl bottle),18.96
201806,Cream liqueur - take home (70cl bottle),15.712
201806,Wine - take home (75cl bottle),
201806,Cider - take home (50cl can),2.075
201806,Sherry - take home (75cl bottle),
201806,Lager - take home (50cl can),1.968
201806,Stout - take home (50cl can),2.235
201806,Filtered cigarettes per 20 pk,12.043
201806,Stout - draught bar (1 pint),4.504
201806,Lager - draught bar (1 pint),4.893
201806,Lager - bar (33cl bottle),4.817
201806,Cider - draught bar (1 pint),4.984
201806,Ale - draught bar (1 pint),4.554
201806,Cider - bar (33cl bottle),4.986
201806,Flavoured alcoholic drink - bar (275ml bottle),5.474
201806,Whiskey - bar (single) per ½ glass,4.36
201806,Brandy - bar (single) per ½ glass,4.782
201806,Vodka - bar (single) per ½ glass,4.378
201806,Wine - bar (187ml bottle),
201806,Diesel per litre,1.37
201806,Petrol - unleaded per litre,1.47
201806,Cinema fee,9.681
201806,Nightclubs fee,9.228
201806,Gent's dry cut fee,12.655
201806,"Gent's wash, cut, and blow dry fee",
201806,"Ladies' wash, cut and blow dry fee",39.751
201807,"White, self raising flour per 2 kg",2.329
201807,"Brown, wholemeal flour per 2 kg",2.802
201807,"Bread, white sliced pan, large (800g)",1.283
201807,"Bread, brown sliced pan, large (800g)",1.384
201807,Spaghetti per 500g,1.077
201807,Sirloin steak per kg,13.885
201807,Striploin steak per kg,21.153
201807,Roast beef - topside or rib per kg,13.682
201807,Sliced / diced beef pieces per kg,10.257
201807,Pork loin chops per kg,8.242
201807,Pork steak per kg,8.462
201807,Lamb - whole leg / half leg per kg,11.084
201807,Lamb loin chops per kg,17.546
201807,Lamb gigot chops per kg,
201807,Uncooked chicken medium size 1.6kg,4.705
201807,Lamb's liver per kg,5.825
201807,Ham fillet per kg,5.499
201807,Cooked ham per kg,18.101
201807,Best back rashers per kg,9.412
201807,Pork sausages per kg,5.896
201807,Fresh fillet of whiting per kg,
201807,Fresh fillet of cod per kg,16.27
201807,Fresh salmon per kg,20.652
201807,Fresh fillet of plaice per kg,
201807,Fresh hake per kg,14.026
201807,Smoked salmon per kg,31.274
201807,Full fat milk per 2 litre,1.7
201807,Low fat milk per 1 litre,1.037
201807,Irish cheddar per kg,9.726
201807,Large eggs per half dozen,1.725
201807,Medium eggs per half dozen,1.435
201807,Butter per lb,3.126
201807,Grapes per kg,4.861
201807,Bananas per kg,1.404
201807,Tomatoes per kg,3.124
201807,Onions per kg,1.058
201807,Broccoli per kg,2.777
201807,Carrots per kg,1.318
201807,Mushrooms per kg,3.904
201807,Tomatoes tinned per 400g,0.852
201807,Potatoes 2.5 kg,3.144
201807,Potatoes 7.5 kg,5.358
201807,Potatoes 10 kg,
201807,White granulated sugar per 1 kg,1.309
201807,Jam per lb,1.161
201807,Marmalade per lb,2.073
201807,Tea bags per 80,2.835
201807,Orange juice per litre,1.395
201807,Whiskey - take home (70cl bottle),25.418
201807,Brandy - take home (70cl bottle),30.917
201807,Vodka - take home (70cl bottle),18.96
201807,Cream liqueur - take home (70cl bottle),16.446
201807,Wine - take home (75cl bottle),
201807,Cider - take home (50cl can),2.064
201807,Sherry - take home (75cl bottle),
201807,Lager - take home (50cl can),1.973
201807,Stout - take home (50cl can),2.243
201807,Filtered cigarettes per 20 pk,12.047
201807,Stout - draught bar (1 pint),4.539
201807,Lager - draught bar (1 pint),4.935
201807,Lager - bar (33cl bottle),4.835
201807,Cider - draught bar (1 pint),5.026
201807,Ale - draught bar (1 pint),4.592
