Month,Item,Value
202001,"White, self raising flour per 2 kg",2.163
202001,"Brown, wholemeal flour per 2 kg",2.72
202001,"Bread, white sliced pan, large (800g)",1.288
202001,"Bread, brown sliced pan, large (800g)",1.476
202001,Spaghetti per 500g,1.06
202001,Sirloin steak per kg,15.766
202001,Striploin steak per kg,19.289
202001,Roast beef - topside or rib per kg,13.778
202001,Sliced / diced beef pieces per kg,10.359
202001,Pork loin chops per kg,8.528
202001,Pork steak per kg,8.596
202001,Lamb - whole leg / half leg per kg,10.943
202001,Lamb loin chops per kg,17.514
202001,Lamb gigot chops per kg,
202001,Uncooked chicken medium size 1.6kg,4.875
202001,Lamb's liver per kg,5.892
202001,Ham fillet per kg,5.733
202001,Cooked ham per kg,18.058
202001,Best back rashers per kg,9.342
202001,Pork sausages per kg,6.263
202001,Fresh fillet of whiting per kg,
202001,Fresh fillet of cod per kg,16.163
202001,Fresh salmon per kg,21.694
202001,Fresh fillet of plaice per kg,
202001,Fresh hake per kg,16.566
202001,Smoked salmon per kg,31.796
202001,Full fat milk per 2 litre,1.688
202001,Low fat milk per 1 litre,1.036
202001,Irish cheddar per kg,9.902
202001,Large eggs per half dozen,1.745
202001,Medium eggs per half dozen,1.431
202001,Butter per lb,3.02
202001,Grapes per kg,4.976
202001,Bananas per kg,1.405
202001,Tomatoes per kg,3.314
202001,Onions per kg,1.177
202001,Broccoli per kg,2.879
202001,Carrots per kg,1.147
202001,Mushrooms per kg,3.711
202001,Tomatoes tinned per 400g,0.806
202001,Potatoes 2.5 kg,3.573
202001,Potatoes 7.5 kg,6.463
202001,Potatoes 10 kg,
202001,White granulated sugar per 1 kg,1.155
202001,Jam per lb,0.984
202001,Marmalade per lb,1.955
202001,Tea bags per 80,2.893
202001,Orange juice per litre,1.389
202001,Whiskey - take home (70cl bottle),26.215
202001,Brandy - take home (70cl bottle),32.506
202001,Vodka - take home (70cl bottle),19.692
202001,Cream liqueur - take home (70cl bottle),17.886
202001,Wine - take home (75cl bottle),
202001,Cider - take home (50cl can),2.082
202001,Sherry - take home (75cl bottle),
202001,Lager - take home (50cl can),1.993
202001,Stout - take home (50cl can),2.339
202001,Filtered cigarettes per 20 pk,13.351
202001,Stout - draught bar (1 pint),4.663
202001,Lager - draught bar (1 pint),5.061
202001,Lager - bar (33cl bottle),4.951
202001,Cider - draught bar (1 pint),5.181
202001,Ale - draught bar (1 pint),4.737
202001,Cider - bar (33cl bottle),5.127
202001,Flavoured alcoholic drink - bar (275ml bottle),5.599
202001,Whiskey - bar (single) per ½ glass,4.532
202001,Brandy - bar (single) per ½ glass,4.93
202001,Vodka - bar (single) per ½ glass,4.568
202001,Wine - bar (187ml bottle),
202001,Diesel per litre,1.383
202001,Petrol - unleaded per litre,1.472
202001,Cinema fee,10.378
202001,Nightclubs fee,9.084
202001,Gent's dry cut fee,13.993
202001,"Gent's wash, cut, and blow dry fee",
202001,"Ladies' wash, cut and blow dry fee",43.367
202002,"White, self raising flour per 2 kg",2.191
202002,"Brown, wholemeal flour per 2 kg",2.793
202002,"Bread, white sliced pan, large (800g)",1.293
202002,"Bread, brown sliced pan, large (800g)",1.46
202002,Spaghetti per 500g,0.983
