Month,Item,Value
202201,"White, self raising flour per 2 kg",2.074
202201,"Brown, wholemeal flour per 2 kg",2.752
202201,"Bread, white sliced pan, large (800g)",1.404
202201,"Bread, brown sliced pan, large (800g)",1.62
202201,Spaghetti per 500g,1.078
202201,Sirloin steak per kg,14.258
202201,Striploin steak per kg,20.437
202201,Roast beef - topside or rib per kg,11.182
202201,Sliced / diced beef pieces per kg,9.584
202201,Pork loin chops per kg,7.462
202201,Pork steak per kg,8.372
202201,Lamb - whole leg / half leg per kg,13.903
202201,Lamb loin chops per kg,19.257
202201,Lamb gigot chops per kg,
202201,Uncooked chicken medium size 1.6kg,4.773
202201,Lamb's liver per kg,
202201,Ham fillet per kg,5.628
202201,Cooked ham per kg,18.07
202201,Best back rashers per kg,9.305
202201,Pork sausages per kg,6.208
202201,Fresh fillet of whiting per kg,
202201,Fresh fillet of cod per kg,17.291
202201,Fresh salmon per kg,20.78
202201,Fresh fillet of plaice per kg,
202201,Fresh hake per kg,
202201,Smoked salmon per kg,32.43
202201,Full fat milk per 2 litre,1.732
202201,Low fat milk per 1 litre,1.049
202201,Irish cheddar per kg,9.011
202201,Large eggs per half dozen,1.787
202201,Medium eggs per half dozen,1.407
202201,Butter per lb,3.1
202201,Grapes per kg,4.702
202201,Bananas per kg,1.395
202201,Tomatoes per kg,3.228
202201,Onions per kg,1.22
202201,Broccoli per kg,2.757
202201,Carrots per kg,1.109
202201,Mushrooms per kg,3.736
202201,Tomatoes tinned per 400g,0.892
202201,Potatoes 2.5 kg,3.351
202201,Potatoes 7.5 kg,5.8
202201,Potatoes 10 kg,
202201,White granulated sugar per 1 kg,1.221
202201,Jam per lb,0.966
202201,Marmalade per lb,1.948
202201,Tea bags per 80,2.738
202201,Orange juice per litre,1.425
202201,Whiskey - take home (70cl bottle),27.657
202201,Brandy - take home (70cl bottle),41.54
202201,Vodka - take home (70cl bottle),24.544
202201,Cream liqueur - take home (70cl bottle),17.569
202201,Wine - take home (75cl bottle),
202201,Cider - take home (50cl can),2.314
202201,Sherry - take home (75cl bottle),
202201,Lager - take home (50cl can),2.17
202201,Stout - take home (50cl can),2.349
202201,Filtered cigarettes per 20 pk,14.634
202201,Stout - draught bar (1 pint),4.946
202201,Lager - draught bar (1 pint),5.325
202201,Lager - bar (33cl bottle),5.105
202201,Cider - draught bar (1 pint),5.444
202201,Ale - draught bar (1 pint),4.992
202201,Cider - bar (33cl bottle),5.051
202201,Flavoured alcoholic drink - bar (275ml bottle),5.889
