Month,Item,Value
201601,"White, self raising flour per 2 kg",2.378
201601,"Brown, wholemeal flour per 2 kg",3.033
201601,"Bread, white sliced pan, large (800g)",1.263
201601,"Bread, brown sliced pan, large (800g)",1.352
201601,Spaghetti per 500g,1.104
201601,Sirloin steak per kg,16.277
201601,Striploin steak per kg,23.213
201601,Roast beef - topside or rib per kg,12.293
201601,Sliced / diced beef pieces per kg,9.981
201601,Pork loin chops per kg,7.91
201601,Pork steak per kg,9.46
201601,Lamb - whole leg / half leg per kg,11.217
201601,Lamb loin chops per kg,18.2
201601,Lamb gigot chops per kg,12.708
201601,Uncooked chicken medium size 1.6kg,4.939
201601,Lamb's liver per kg,5.917
201601,Ham fillet per kg,5.918
201601,Cooked ham per kg,16.916
201601,Best back rashers per kg,9.807
201601,Pork sausages per kg,5.902
201601,Fresh fillet of whiting per kg,10.986
201601,Fresh fillet of cod per kg,17.422
201601,Fresh salmon per kg,18.944
201601,Fresh fillet of plaice per kg,19.453
201601,Fresh hake per kg,
201601,Smoked salmon per kg,28.769
201601,Full fat milk per 2 litre,1.714
201601,Low fat milk per 1 litre,1.05
201601,Irish cheddar per kg,10.205
201601,Large eggs per half dozen,1.849
201601,Medium eggs per half dozen,1.616
201601,Butter per lb,2.727
201601,Grapes per kg,5.075
201601,Bananas per kg,1.389
201601,Tomatoes per kg,2.976
201601,Onions per kg,1.109
201601,Broccoli per kg,3.157
201601,Carrots per kg,1.316
201601,Mushrooms per kg,4.202
201601,Tomatoes tinned per 400g,0.906
201601,Potatoes 2.5 kg,3.133
201601,Potatoes 7.5 kg,
201601,Potatoes 10 kg,7.244
201601,White granulated sugar per 1 kg,1.28
201601,Jam per lb,1.383
201601,Marmalade per lb,1.922
201601,Tea bags per 80,2.719
201601,Orange juice per litre,1.555
201601,Whiskey - take home (70cl bottle),26.51
201601,Brandy - take home (70cl bottle),30.4
201601,Vodka - take home (70cl bottle),19.19
201601,Cream liqueur - take home (70cl bottle),15.71
201601,Wine - take home (75cl bottle),10.726
201601,Cider - take home (50cl can),2.247
201601,Sherry - take home (75cl bottle),14.222
201601,Lager - take home (50cl can),1.91
201601,Stout - take home (50cl can),2.235
201601,Filtered cigarettes per 20 pk,10.499
201601,Stout - draught bar (1 pint),4.318
201601,Lager - draught bar (1 pint),4.696
201601,Lager - bar (33cl bottle),4.613
201601,Cider - draught bar (1 pint),4.756
201601,Ale - draught bar (1 pint),4.374
201601,Cider - bar (33cl bottle),4.728
201601,Flavoured alcoholic drink - bar (275ml bottle),5.343
201601,Whiskey - bar (single) per ½ glass,4.105
201601,Brandy - bar (single) per ½ glass,4.612
201601,Vodka - bar (single) per ½ glass,4.142
201601,Wine - bar (187ml bottle),5.336
201601,Diesel per litre,1.123
