Month,Item,Value
201301,"White, self raising flour per 2 kg",2.343
201301,"Brown, wholemeal flour per 2 kg",2.863
201301,"Bread, white sliced pan, large (800g)",1.297
201301,"Bread, brown sliced pan, large (800g)",1.565
201301,Spaghetti per 500g,1.099
201301,Sirloin steak per kg,16.197
201301,Striploin steak per kg,22.483
201301,Roast beef - topside or rib per kg,12.675
201301,Sliced / diced beef pieces per kg,10.267
201301,Pork loin chops per kg,8.562
201301,Pork steak per kg,9.595
201301,Lamb - whole leg / half leg per kg,11.106
201301,Lamb loin chops per kg,18.765
201301,Lamb gigot chops per kg,13.083
201301,Uncooked chicken medium size 1.6kg,5.813
201301,Lamb's liver per kg,5.782
201301,Ham fillet per kg,6.051
201301,Cooked ham per kg,16.706
201301,Best back rashers per kg,10.887
201301,Pork sausages per kg,5.953
201301,Fresh fillet of whiting per kg,10.608
201301,Fresh fillet of cod per kg,16.729
201301,Fresh salmon per kg,15.816
201301,Fresh fillet of plaice per kg,18.747
201301,Fresh hake per kg,
201301,Smoked salmon per kg,27.134
201301,Full fat milk per 2 litre,1.77
201301,Low fat milk per 1 litre,1.05
201301,Irish cheddar per kg,10.703
201301,Large eggs per half dozen,1.875
201301,Medium eggs per half dozen,1.636
201301,Butter per lb,2.75
201301,Grapes per kg,6.525
201301,Bananas per kg,1.369
201301,Tomatoes per kg,2.957
201301,Onions per kg,1.224
201301,Broccoli per kg,3.398
201301,Carrots per kg,1.305
201301,Mushrooms per kg,4.637
201301,Tomatoes tinned per 400g,0.815
201301,Potatoes 2.5 kg,3.836
201301,Potatoes 7.5 kg,
201301,Potatoes 10 kg,9.055
201301,White granulated sugar per 1 kg,1.343
201301,Jam per lb,1.76
201301,Marmalade per lb,1.869
201301,Tea bags per 80,2.753
201301,Orange juice per litre,1.48
201301,Whiskey - take home (70cl bottle),24.167
201301,Brandy - take home (70cl bottle),26.299
201301,Vodka - take home (70cl bottle),19.114
201301,Cream liqueur - take home (70cl bottle),16.22
201301,Wine - take home (75cl bottle),9.884
201301,Cider - take home (50cl can),2.164
201301,Sherry - take home (75cl bottle),12.434
201301,Lager - take home (50cl can),1.856
201301,Stout - take home (50cl can),2.136
201301,Filtered cigarettes per 20 pk,9.233
201301,Stout - draught bar (1 pint),4.145
201301,Lager - draught bar (1 pint),4.528
201301,Lager - bar (33cl bottle),4.485
201301,Cider - draught bar (1 pint),4.578
201301,Ale - draught bar (1 pint),4.187
201301,Cider - bar (33cl bottle),4.604
201301,Flavoured alcoholic drink - bar (275ml bottle),5.247
201301,Whiskey - bar (single) per ½ glass,3.866
201301,Brandy - bar (single) per ½ glass,4.414
201301,Vodka - bar (single) per ½ glass,3.925
201301,Wine - bar (187ml bottle),5.065
201301,Diesel per litre,1.525
201301,Petrol - unleaded per litre,1.581
201301,Cinema fee,8.943
201301,Nightclubs fee,9.312
201301,Gent's dry cut fee,11.849
201301,"Gent's wash, cut, and blow dry fee",18.67
201301,"Ladies' wash, cut and blow dry fee",38.314
201302,"White, self raising flour per 2 kg",2.374
201302,"Brown, wholemeal flour per 2 kg",2.888
201302,"Bread, white sliced pan, large (800g)",1.315
201302,"Bread, brown sliced pan, large (800g)",1.562
201302,Spaghetti per 500g,1.172
201302,Sirloin steak per kg,16.032
201302,Striploin steak per kg,20.446
201302,Roast beef - topside or rib per kg,12.71
201302,Sliced / diced beef pieces per kg,10.242
201302,Pork loin chops per kg,8.511
201302,Pork steak per kg,9.605
201302,Lamb - whole leg / half leg per kg,12.378
201302,Lamb loin chops per kg,17.458
201302,Lamb gigot chops per kg,13.042
201302,Uncooked chicken medium size 1.6kg,5.913
201302,Lamb's liver per kg,5.804
201302,Ham fillet per kg,6.189
201302,Cooked ham per kg,17.004
201302,Best back rashers per kg,10.988
201302,Pork sausages per kg,5.982
201302,Fresh fillet of whiting per kg,10.859
201302,Fresh fillet of cod per kg,12.815
201302,Fresh salmon per kg,16.119
201302,Fresh fillet of plaice per kg,16.797
201302,Fresh hake per kg,
201302,Smoked salmon per kg,27.957
201302,Full fat milk per 2 litre,1.769
201302,Low fat milk per 1 litre,1.046
201302,Irish cheddar per kg,11.376
201302,Large eggs per half dozen,1.896
201302,Medium eggs per half dozen,1.648
201302,Butter per lb,2.734
201302,Grapes per kg,6.423
201302,Bananas per kg,1.368
201302,Tomatoes per kg,2.967
201302,Onions per kg,1.136
201302,Broccoli per kg,3.375
201302,Carrots per kg,1.303
201302,Mushrooms per kg,4.67
201302,Tomatoes tinned per 400g,0.815
201302,Potatoes 2.5 kg,3.736
201302,Potatoes 7.5 kg,
201302,Potatoes 10 kg,9.125
201302,White granulated sugar per 1 kg,1.342
201302,Jam per lb,2.028
201302,Marmalade per lb,1.875
201302,Tea bags per 80,2.809
201302,Orange juice per litre,1.496
201302,Whiskey - take home (70cl bottle),23.657
201302,Brandy - take home (70cl bottle),26.651
201302,Vodka - take home (70cl bottle),18.867
201302,Cream liqueur - take home (70cl bottle),16.146
201302,Wine - take home (75cl bottle),9.963
201302,Cider - take home (50cl can),2.209
201302,Sherry - take home (75cl bottle),12.5
201302,Lager - take home (50cl can),1.867
201302,Stout - take home (50cl can),2.158
201302,Filtered cigarettes per 20 pk,9.231
201302,Stout - draught bar (1 pint),4.161
201302,Lager - draught bar (1 pint),4.545
201302,Lager - bar (33cl bottle),4.492
201302,Cider - draught bar (1 pint),4.589
201302,Ale - draught bar (1 pint),4.196
201302,Cider - bar (33cl bottle),4.612
201302,Flavoured alcoholic drink - bar (275ml bottle),5.242
201302,Whiskey - bar (single) per ½ glass,3.879
201302,Brandy - bar (single) per ½ glass,4.429
201302,Vodka - bar (single) per ½ glass,3.937
201302,Wine - bar (187ml bottle),5.082
201302,Diesel per litre,1.541
201302,Petrol - unleaded per litre,1.603
201302,Cinema fee,8.938
201302,Nightclubs fee,9.303
201302,Gent's dry cut fee,11.857
201302,"Gent's wash, cut, and blow dry fee",18.096
201302,"Ladies' wash, cut and blow dry fee",36.216
201303,"White, self raising flour per 2 kg",2.371
201303,"Brown, wholemeal flour per 2 kg",2.928
201303,"Bread, white sliced pan, large (800g)",1.332
