Month,Item,Value
201502,Brandy - bar (single) per ½ glass,4.577
201502,Vodka - bar (single) per ½ glass,4.111
201502,Wine - bar (187ml bottle),5.308
201502,Diesel per litre,1.227
201502,Petrol - unleaded per litre,1.291
201502,Cinema fee,9.064
201502,Nightclubs fee,9.392
201502,Gent's dry cut fee,11.924
201502,"Gent's wash, cut, and blow dry fee",17.755
201502,"Ladies' wash, cut and blow dry fee",39.014
201503,"White, self raising flour per 2 kg",2.313
201503,"Brown, wholemeal flour per 2 kg",2.981
201503,"Bread, white sliced pan, large (800g)",1.268
201503,"Bread, brown sliced pan, large (800g)",1.355
201503,Spaghetti per 500g,1.056
201503,Sirloin steak per kg,15.53
201503,Striploin steak per kg,21.709
201503,Roast beef - topside or rib per kg,13.239
201503,Sliced / diced beef pieces per kg,10.649
201503,Pork loin chops per kg,8.318
201503,Pork steak per kg,8.827
201503,Lamb - whole leg / half leg per kg,11.736
201503,Lamb loin chops per kg,18.019
201503,Lamb gigot chops per kg,13.324
201503,Uncooked chicken medium size 1.6kg,5.549
201503,Lamb's liver per kg,5.858
201503,Ham fillet per kg,5.818
201503,Cooked ham per kg,17.598
201503,Best back rashers per kg,10.462
201503,Pork sausages per kg,5.858
201503,Fresh fillet of whiting per kg,10.991
201503,Fresh fillet of cod per kg,17.319
201503,Fresh salmon per kg,19.136
201503,Fresh fillet of plaice per kg,19.204
201503,Fresh hake per kg,
201503,Smoked salmon per kg,30.348
201503,Full fat milk per 2 litre,1.719
201503,Low fat milk per 1 litre,1.046
201503,Irish cheddar per kg,10.515
201503,Large eggs per half dozen,1.876
201503,Medium eggs per half dozen,1.612
201503,Butter per lb,2.751
201503,Grapes per kg,5.181
201503,Bananas per kg,1.361
201503,Tomatoes per kg,3.118
201503,Onions per kg,1.106
201503,Broccoli per kg,3.082
201503,Carrots per kg,1.285
201503,Mushrooms per kg,4.411
201503,Tomatoes tinned per 400g,0.91
201503,Potatoes 2.5 kg,2.924
201503,Potatoes 7.5 kg,
201503,Potatoes 10 kg,5.145
201503,White granulated sugar per 1 kg,1.29
201503,Jam per lb,1.857
201503,Marmalade per lb,1.882
201503,Tea bags per 80,2.793
201503,Orange juice per litre,1.61
201503,Whiskey - take home (70cl bottle),25.271
201503,Brandy - take home (70cl bottle),30.2
201503,Vodka - take home (70cl bottle),19.793
201503,Cream liqueur - take home (70cl bottle),15.14
201503,Wine - take home (75cl bottle),10.601
201503,Cider - take home (50cl can),2.286
201503,Sherry - take home (75cl bottle),14.341
201503,Lager - take home (50cl can),1.969
201503,Stout - take home (50cl can),2.21
201503,Filtered cigarettes per 20 pk,9.995
201503,Stout - draught bar (1 pint),4.304
201503,Lager - draught bar (1 pint),4.678
201503,Lager - bar (33cl bottle),4.624
201503,Cider - draught bar (1 pint),4.745
201503,Ale - draught bar (1 pint),4.362
201503,Cider - bar (33cl bottle),4.742
201503,Flavoured alcoholic drink - bar (275ml bottle),5.309
201503,Whiskey - bar (single) per ½ glass,4.059
201503,Brandy - bar (single) per ½ glass,4.577
201503,Vodka - bar (single) per ½ glass,4.108
201503,Wine - bar (187ml bottle),5.333
201503,Diesel per litre,1.298
201503,Petrol - unleaded per litre,1.36
201503,Cinema fee,9.141
201503,Nightclubs fee,9.379
201503,Gent's dry cut fee,11.836
201503,"Gent's wash, cut, and blow dry fee",17.643
201503,"Ladies' wash, cut and blow dry fee",38.762
201504,"White, self raising flour per 2 kg",2.321
201504,"Brown, wholemeal flour per 2 kg",2.987
201504,"Bread, white sliced pan, large (800g)",1.265
201504,"Bread, brown sliced pan, large (800g)",1.365
201504,Spaghetti per 500g,1.057
201504,Sirloin steak per kg,15.904
201504,Striploin steak per kg,22.368
201504,Roast beef - topside or rib per kg,13.044
201504,Sliced / diced beef pieces per kg,10.11
201504,Pork loin chops per kg,7.768
201504,Pork steak per kg,9.427
201504,Lamb - whole leg / half leg per kg,12.918
201504,Lamb loin chops per kg,18.182
201504,Lamb gigot chops per kg,13.467
201504,Uncooked chicken medium size 1.6kg,5.499
201504,Lamb's liver per kg,5.858
201504,Ham fillet per kg,5.831
201504,Cooked ham per kg,17.463
201504,Best back rashers per kg,10.319
201504,Pork sausages per kg,5.772
201504,Fresh fillet of whiting per kg,10.429
201504,Fresh fillet of cod per kg,14.222
201504,Fresh salmon per kg,19.061
201504,Fresh fillet of plaice per kg,19.407
201504,Fresh hake per kg,
201504,Smoked salmon per kg,29.64
201504,Full fat milk per 2 litre,1.728
201504,Low fat milk per 1 litre,1.052
201504,Irish cheddar per kg,10.194
201504,Large eggs per half dozen,1.88
201504,Medium eggs per half dozen,1.624
201504,Butter per lb,2.735
201504,Grapes per kg,5.108
201504,Bananas per kg,1.369
201504,Tomatoes per kg,3.134
201504,Onions per kg,1.073
201504,Broccoli per kg,3.088
201504,Carrots per kg,1.281
201504,Mushrooms per kg,4.249
201504,Tomatoes tinned per 400g,0.909
201504,Potatoes 2.5 kg,2.775
201504,Potatoes 7.5 kg,
201504,Potatoes 10 kg,4.912
201504,White granulated sugar per 1 kg,1.285
201504,Jam per lb,1.692
201504,Marmalade per lb,1.93
201504,Tea bags per 80,2.846
201504,Orange juice per litre,1.58
201504,Whiskey - take home (70cl bottle),25.127
201504,Brandy - take home (70cl bottle),30.481
201504,Vodka - take home (70cl bottle),19.274
201504,Cream liqueur - take home (70cl bottle),15.078
201504,Wine - take home (75cl bottle),10.499
201504,Cider - take home (50cl can),2.291
201504,Sherry - take home (75cl bottle),13.922
201504,Lager - take home (50cl can),1.966
201504,Stout - take home (50cl can),2.204
201504,Filtered cigarettes per 20 pk,10.001
201504,Stout - draught bar (1 pint),4.303
201504,Lager - draught bar (1 pint),4.676
201504,Lager - bar (33cl bottle),4.62
201504,Cider - draught bar (1 pint),4.747
201504,Ale - draught bar (1 pint),4.363
201504,Cider - bar (33cl bottle),4.737
201504,Flavoured alcoholic drink - bar (275ml bottle),5.298
201504,Whiskey - bar (single) per ½ glass,4.06
201504,Brandy - bar (single) per ½ glass,4.58
201504,Vodka - bar (single) per ½ glass,4.108
201504,Wine - bar (187ml bottle),5.33
201504,Diesel per litre,1.303
201504,Petrol - unleaded per litre,1.395
201504,Cinema fee,9.143
201504,Nightclubs fee,9.37
201504,Gent's dry cut fee,11.836
201504,"Gent's wash, cut, and blow dry fee",17.688
201504,"Ladies' wash, cut and blow dry fee",38.543
201505,"White, self raising flour per 2 kg",2.26
201505,"Brown, wholemeal flour per 2 kg",3.009
201505,"Bread, white sliced pan, large (800g)",1.26
201505,"Bread, brown sliced pan, large (800g)",1.353
201505,Spaghetti per 500g,1.042
201505,Sirloin steak per kg,16.283
201505,Striploin steak per kg,22.245
201505,Roast beef - topside or rib per kg,13.284
201505,Sliced / diced beef pieces per kg,10.618
201505,Pork loin chops per kg,8.11
201505,Pork steak per kg,9.185
201505,Lamb - whole leg / half leg per kg,12.311
201505,Lamb loin chops per kg,17.815
201505,Lamb gigot chops per kg,12.588
201505,Uncooked chicken medium size 1.6kg,5.442
201505,Lamb's liver per kg,5.854
201505,Ham fillet per kg,5.869
201505,Cooked ham per kg,17.684
201505,Best back rashers per kg,10.264
201505,Pork sausages per kg,5.959
201505,Fresh fillet of whiting per kg,10.919
201505,Fresh fillet of cod per kg,14.539
201505,Fresh salmon per kg,19.404
201505,Fresh fillet of plaice per kg,18.042
201505,Fresh hake per kg,
201505,Smoked salmon per kg,30.454
201505,Full fat milk per 2 litre,1.72
201505,Low fat milk per 1 litre,1.05
201505,Irish cheddar per kg,10.606
201505,Large eggs per half dozen,1.867
201505,Medium eggs per half dozen,1.645
201505,Butter per lb,2.716
201505,Grapes per kg,5.161
201505,Bananas per kg,1.362
201505,Tomatoes per kg,3.046
201505,Onions per kg,1.108
201505,Broccoli per kg,3.115
201505,Carrots per kg,1.275
201505,Mushrooms per kg,4.413
201505,Tomatoes tinned per 400g,0.891
201505,Potatoes 2.5 kg,2.734
201505,Potatoes 7.5 kg,
201505,Potatoes 10 kg,5.011
201505,White granulated sugar per 1 kg,1.287
201505,Jam per lb,1.588
201505,Marmalade per lb,1.823
201505,Tea bags per 80,2.861
201505,Orange juice per litre,1.562
201505,Whiskey - take home (70cl bottle),23.487
201505,Brandy - take home (70cl bottle),31.026
201505,Vodka - take home (70cl bottle),19.105
201505,Cream liqueur - take home (70cl bottle),16.04
201505,Wine - take home (75cl bottle),10.537
201505,Cider - take home (50cl can),2.348
201505,Sherry - take home (75cl bottle),14.215
201505,Lager - take home (50cl can),1.949
201505,Stout - take home (50cl can),2.204
201505,Filtered cigarettes per 20 pk,9.999
201505,Stout - draught bar (1 pint),4.308
201505,Lager - draught bar (1 pint),4.682
201505,Lager - bar (33cl bottle),4.62
201505,Cider - draught bar (1 pint),4.752
201505,Ale - draught bar (1 pint),4.367
201505,Cider - bar (33cl bottle),4.74
201505,Flavoured alcoholic drink - bar (275ml bottle),5.289
201505,Whiskey - bar (single) per ½ glass,4.066
201505,Brandy - bar (single) per ½ glass,4.584
201505,Vodka - bar (single) per ½ glass,4.108
