Month,Item,Value
201901,"White, self raising flour per 2 kg",2.194
201901,"Brown, wholemeal flour per 2 kg",2.832
201901,"Bread, white sliced pan, large (800g)",1.278
201901,"Bread, brown sliced pan, large (800g)",1.419
201901,Spaghetti per 500g,1.082
201901,Sirloin steak per kg,15.516
201901,Striploin steak per kg,20.552
201901,Roast beef - topside or rib per kg,13.524
201901,Sliced / diced beef pieces per kg,10.023
201901,Pork loin chops per kg,7.49
201901,Pork steak per kg,8.866
201901,Lamb - whole leg / half leg per kg,11.419
201901,Lamb loin chops per kg,16.837
201901,Lamb gigot chops per kg,
201901,Uncooked chicken medium size 1.6kg,4.693
201901,Lamb's liver per kg,5.876
201901,Ham fillet per kg,5.406
201901,Cooked ham per kg,17.472
201901,Best back rashers per kg,9.351
201901,Pork sausages per kg,5.94
201901,Fresh fillet of whiting per kg,
201901,Fresh fillet of cod per kg,17.281
201901,Fresh salmon per kg,20.81
201901,Fresh fillet of plaice per kg,
201901,Fresh hake per kg,15.965
201901,Smoked salmon per kg,31.234
201901,Full fat milk per 2 litre,1.678
201901,Low fat milk per 1 litre,1.035
201901,Irish cheddar per kg,9.854
201901,Large eggs per half dozen,1.747
201901,Medium eggs per half dozen,1.426
201901,Butter per lb,3.074
201901,Grapes per kg,4.822
201901,Bananas per kg,1.388
201901,Tomatoes per kg,3.117
201901,Onions per kg,1.138
201901,Broccoli per kg,2.699
201901,Carrots per kg,1.163
201901,Mushrooms per kg,3.62
201901,Tomatoes tinned per 400g,0.817
201901,Potatoes 2.5 kg,3.547
201901,Potatoes 7.5 kg,7.688
201901,Potatoes 10 kg,
201901,White granulated sugar per 1 kg,1.216
201901,Jam per lb,1.131
201901,Marmalade per lb,1.911
201901,Tea bags per 80,2.807
201901,Orange juice per litre,1.359
201901,Whiskey - take home (70cl bottle),24.675
201901,Brandy - take home (70cl bottle),31.534
201901,Vodka - take home (70cl bottle),19.053
201901,Cream liqueur - take home (70cl bottle),16.187
201901,Wine - take home (75cl bottle),
201901,Cider - take home (50cl can),2.085
201901,Sherry - take home (75cl bottle),
201901,Lager - take home (50cl can),2.001
201901,Stout - take home (50cl can),2.312
201901,Filtered cigarettes per 20 pk,12.566
201901,Stout - draught bar (1 pint),4.629
201901,Lager - draught bar (1 pint),5.012
201901,Lager - bar (33cl bottle),4.91
201901,Cider - draught bar (1 pint),5.124
201901,Ale - draught bar (1 pint),4.682
201901,Cider - bar (33cl bottle),5.07
201901,Flavoured alcoholic drink - bar (275ml bottle),5.581
201901,Whiskey - bar (single) per ½ glass,4.463
201901,Brandy - bar (single) per ½ glass,4.86
201901,Vodka - bar (single) per ½ glass,4.483
201901,Wine - bar (187ml bottle),
201901,Diesel per litre,1.286
201901,Petrol - unleaded per litre,1.339
201901,Cinema fee,10.295
201901,Nightclubs fee,9.163
201901,Gent's dry cut fee,13.258
201901,"Gent's wash, cut, and blow dry fee",
201901,"Ladies' wash, cut and blow dry fee",42.304
201902,"White, self raising flour per 2 kg",2.216
201902,"Brown, wholemeal flour per 2 kg",2.801
201902,"Bread, white sliced pan, large (800g)",1.3
201902,"Bread, brown sliced pan, large (800g)",1.419
