Month,Item,Value
201112,"White, self raising flour per 2 kg",
201112,"Brown, wholemeal flour per 2 kg",
201112,"Bread, white sliced pan, large (800g)",
201112,"Bread, brown sliced pan, large (800g)",
201112,Spaghetti per 500g,
201112,Sirloin steak per kg,
201112,Striploin steak per kg,
201112,Roast beef - topside or rib per kg,
201112,Sliced / diced beef pieces per kg,
201112,Pork loin chops per kg,
201112,Pork steak per kg,
201112,Lamb - whole leg / half leg per kg,
201112,Lamb loin chops per kg,
201112,Lamb gigot chops per kg,
201112,Uncooked chicken medium size 1.6kg,
201112,Lamb's liver per kg,
201112,Ham fillet per kg,
201112,Cooked ham per kg,
201112,Best back rashers per kg,
201112,Pork sausages per kg,
201112,Fresh fillet of whiting per kg,
201112,Fresh fillet of cod per kg,
201112,Fresh salmon per kg,
201112,Fresh fillet of plaice per kg,
201112,Fresh hake per kg,
201112,Smoked salmon per kg,
201112,Full fat milk per 2 litre,
201112,Low fat milk per 1 litre,
201112,Irish cheddar per kg,
201112,Large eggs per half dozen,
201112,Medium eggs per half dozen,
201112,Butter per lb,
201112,Grapes per kg,
201112,Bananas per kg,
201112,Tomatoes per kg,
201112,Onions per kg,
201112,Broccoli per kg,
201112,Carrots per kg,
201112,Mushrooms per kg,
201112,Tomatoes tinned per 400g,
201112,Potatoes 2.5 kg,
201112,Potatoes 7.5 kg,
201112,Potatoes 10 kg,
201112,White granulated sugar per 1 kg,
201112,Jam per lb,
201112,Marmalade per lb,
201112,Tea bags per 80,
201112,Orange juice per litre,
201112,Whiskey - take home (70cl bottle),
201112,Brandy - take home (70cl bottle),
201112,Vodka - take home (70cl bottle),
201112,Cream liqueur - take home (70cl bottle),
201112,Wine - take home (75cl bottle),
201112,Cider - take home (50cl can),
201112,Sherry - take home (75cl bottle),
201112,Lager - take home (50cl can),
201112,Stout - take home (50cl can),
201112,Filtered cigarettes per 20 pk,
201112,Stout - draught bar (1 pint),
201112,Lager - draught bar (1 pint),
201112,Lager - bar (33cl bottle),
201112,Cider - draught bar (1 pint),
201112,Ale - draught bar (1 pint),
201112,Cider - bar (33cl bottle),
201112,Flavoured alcoholic drink - bar (275ml bottle),
201112,Whiskey - bar (single) per ½ glass,
201112,Brandy - bar (single) per ½ glass,
201112,Vodka - bar (single) per ½ glass,
201112,Wine - bar (187ml bottle),
201112,Diesel per litre,
201112,Petrol - unleaded per litre,
201112,Cinema fee,
201112,Nightclubs fee,
201112,Gent's dry cut fee,
201112,"Gent's wash, cut, and blow dry fee",
201112,"Ladies' wash, cut and blow dry fee",
201201,"White, self raising flour per 2 kg",2.13
201201,"Brown, wholemeal flour per 2 kg",2.495
201201,"Bread, white sliced pan, large (800g)",1.276
201201,"Bread, brown sliced pan, large (800g)",1.539
201201,Spaghetti per 500g,1.202
201201,Sirloin steak per kg,15.093
201201,Striploin steak per kg,20.922
201201,Roast beef - topside or rib per kg,11.259
201201,Sliced / diced beef pieces per kg,9.706
201201,Pork loin chops per kg,8.399
201201,Pork steak per kg,9.34
201201,Lamb - whole leg / half leg per kg,12.527
201201,Lamb loin chops per kg,18.601
201201,Lamb gigot chops per kg,13.138
201201,Uncooked chicken medium size 1.6kg,5.361
201201,Lamb's liver per kg,5.626
201201,Ham fillet per kg,6.231
201201,Cooked ham per kg,16.341
201201,Best back rashers per kg,10.349
201201,Pork sausages per kg,5.431
201201,Fresh fillet of whiting per kg,10.671
201201,Fresh fillet of cod per kg,16.591
201201,Fresh salmon per kg,14.077
